Date	Daily minimum temperature	Daily maximum temperature	Maximum steady wind	Maximum wind gust	Total daily precipitation	Snow depth	Pressure	Icon	Description
3/23/16	53¡F	56¡F	9 Mph	N/A	0in	N/A	1012.4mb		weather events not reported
3/24/16	57¡F	61¡F	9 Mph	N/A	0in	N/A	1015.2mb		weather events not reported
3/25/16	58¡F	62¡F	17 Mph	26 Mph	N/A	N/A	1002.9mb		Rain
3/26/16	33¡F	38¡F	9 Mph	N/A	0in	N/A	1022.4mb		weather events not reported
3/27/16	47¡F	53¡F	6 Mph	N/A	0in	N/A	1023.0mb		weather events not reported
3/28/16	58¡F	63¡F	16 Mph	24 Mph	0in	N/A	1009.3mb		weather events not reported
3/29/16	40¡F	42¡F	N/A	23 Mph	0in	N/A	1018.7mb		Rain
3/30/16	38¡F	43¡F	7 Mph	N/A	0in	N/A	1025.6mb		weather events not reported
3/31/16	60¡F	63¡F	15 Mph	23 Mph	0in	N/A	1012.8mb		weather events not reported
2/1/16	41¡F	60¡F	16 Mph	28 Mph	0.05in	N/A	1010.7mb		Rain
2/2/16	36¡F	40¡F	7 Mph	N/A	0in	N/A	1020.2mb		weather events not reported
2/3/16	46¡F	50¡F	21 Mph	30 Mph	0in	N/A	1012.6mb		Rain
2/4/16	44¡F	58¡F	13 Mph	23 Mph	0.47in	N/A	1011.7mb		weather events not reported
2/5/16	31¡F	35¡F	N/A	17 Mph	0in	N/A	1023.7mb		weather events not reported
2/6/16	27¡F	33¡F	8 Mph	N/A	0in	N/A	1028.9mb		weather events not reported
2/7/16	32¡F	37¡F	7 Mph	N/A	0in	N/A	1023.8mb		weather events not reported
2/8/16	38¡F	43¡F	7 Mph	N/A	0in	N/A	1011.7mb		weather events not reported
2/9/16	34¡F	36¡F	N/A	N/A	0.02in	N/A	1002.6mb		Snowfall
2/10/16	19¡F	35¡F	22 Mph	33 Mph	0.06in	N/A	1008.2mb		Snowfall
2/11/16	14¡F	18¡F	20 Mph	28 Mph	0.01in	N/A	1015.1mb		Snowfall
2/12/16	12¡F	15¡F	10 Mph	N/A	0in	N/A	1026.5mb		weather events not reported
2/13/16	17¡F	21¡F	17 Mph	29 Mph	0in	N/A	N/A		Snowfall
2/14/16	6¡F	8¡F	7 Mph	N/A	0in	N/A	1032.3mb		weather events not reported
2/15/16	18¡F	21¡F	14 Mph	N/A	0in	N/A	1026.0mb		weather events not reported
2/16/16	34¡F	35¡F	7 Mph	N/A	0.3in	N/A	N/A		Fog
									Rain
2/17/16	31¡F	34¡F	6 Mph	N/A	1.18in	N/A	N/A		weather events not reported
2/18/16	18¡F	33¡F	N/A	N/A	0.03in	N/A	1032.5mb		Snowfall
2/19/16	26¡F	28¡F	7 Mph	N/A	0in	N/A	1032.5mb		weather events not reported
2/20/16	55¡F	58¡F	25 Mph	44 Mph	0in	N/A	1011.4mb		weather events not reported
2/21/16	54¡F	63¡F	16 Mph	24 Mph	0in	N/A	1013.1mb		weather events not reported
2/22/16	35¡F	46¡F	10 Mph	18 Mph	0in	N/A	1017.2mb		weather events not reported
2/23/16	39¡F	44¡F	7 Mph	N/A	0in	N/A	1018.9mb		weather events not reported
2/24/16	41¡F	45¡F	14 Mph	21 Mph	0in	N/A	1014.5mb		weather events not reported
2/25/16	43¡F	53¡F	20 Mph	34 Mph	1.01in	N/A	990.6mb		Thunderstorm
									Rain
2/26/16	29¡F	31¡F	20 Mph	32 Mph	0.06in	N/A	1012.2mb		Snowfall
2/27/16	27¡F	28¡F	8 Mph	N/A	0in	N/A	1022.7mb		weather events not reported
2/28/16	35¡F	38¡F	N/A	N/A	0in	N/A	1017.2mb		weather events not reported
2/29/16	50¡F	60¡F	30 Mph	44 Mph	0in	N/A	1003.1mb		Rain
1/1/16	31¡F	32¡F	17 Mph	22 Mph	0.01in	N/A	N/A		Snowfall
1/2/16	28¡F	37¡F	17 Mph	23 Mph	0in	N/A	1020.4mb		weather events not reported
1/3/16	32¡F	34¡F	15 Mph	N/A	0in	N/A	1015.7mb		weather events not reported
1/4/16	28¡F	32¡F	15 Mph	21 Mph	0in	N/A	1017.9mb		Snowfall
1/5/16	12¡F	17¡F	13 Mph	21 Mph	0.02in	N/A	1034.1mb		weather events not reported
